Latitude,Longitude,coords
37.8704,-122.3177,6||28
37.8704,-122.3102,6||29
37.8704,-122.3027,6||30
37.8704,-122.2953,6||31
37.8704,-122.2878,6||32
37.8629,-122.5191,7||1
37.8629,-122.5117,7||2
37.8629,-122.5042,7||3
37.8629,-122.4967,7||4
37.8629,-122.4893,7||5
37.8629,-122.4818,7||6
37.8629,-122.4744,7||7
37.8629,-122.4669,7||8
37.8629,-122.4594,7||9
37.8629,-122.452,7||10
37.8629,-122.4445,7||11
37.8629,-122.437,7||12
37.8629,-122.4296,7||13
37.8629,-122.4221,7||14
37.8629,-122.4147,7||15
37.8629,-122.4072,7||16
37.8629,-122.3997,7||17
37.8629,-122.3923,7||18
37.8629,-122.3848,7||19
37.8629,-122.3774,7||20
37.8629,-122.3699,7||21
37.8629,-122.3624,7||22
37.8629,-122.355,7||23
37.8629,-122.3475,7||24
37.8629,-122.3401,7||25
37.8629,-122.3326,7||26
37.8629,-122.3251,7||27
37.8629,-122.3177,7||28
37.8629,-122.3102,7||29
37.8629,-122.3027,7||30
37.8629,-122.2953,7||31
37.8629,-122.2878,7||32
37.8555,-122.5191,8||1
37.8555,-122.5117,8||2
37.8555,-122.5042,8||3
37.8555,-122.4967,8||4
37.8555,-122.4893,8||5
37.8555,-122.4818,8||6
37.8555,-122.4744,8||7
37.8555,-122.4669,8||8
37.8555,-122.4594,8||9
37.8555,-122.452,8||10
37.8555,-122.4445,8||11
37.8555,-122.437,8||12
37.8555,-122.4296,8||13
37.8555,-122.4221,8||14
37.8555,-122.4147,8||15
37.8555,-122.4072,8||16
37.8555,-122.3997,8||17
37.8555,-122.3923,8||18
37.8555,-122.3848,8||19
37.8555,-122.3774,8||20
37.8555,-122.3699,8||21
37.8555,-122.3624,8||22
37.8555,-122.355,8||23
37.8555,-122.3475,8||24
37.8555,-122.3401,8||25
37.8555,-122.3326,8||26
37.8555,-122.3251,8||27
37.8555,-122.3177,8||28
37.8555,-122.3102,8||29
37.8555,-122.3027,8||30
37.8555,-122.2953,8||31
37.8555,-122.2878,8||32
37.848,-122.5191,9||1
37.848,-122.5117,9||2
37.848,-122.5042,9||3
37.848,-122.4967,9||4
37.848,-122.4893,9||5
37.848,-122.4818,9||6
37.848,-122.4744,9||7
37.848,-122.4669,9||8
37.848,-122.4594,9||9
37.848,-122.452,9||10
37.848,-122.4445,9||11
37.848,-122.437,9||12
37.848,-122.4296,9||13
37.848,-122.4221,9||14
37.848,-122.4147,9||15
37.848,-122.4072,9||16
37.848,-122.3997,9||17
37.848,-122.3923,9||18
37.848,-122.3848,9||19
37.848,-122.3774,9||20
37.848,-122.3699,9||21
37.848,-122.3624,9||22
37.848,-122.355,9||23
37.848,-122.3475,9||24
37.848,-122.3401,9||25
37.848,-122.3326,9||26
37.848,-122.3251,9||27
37.848,-122.3177,9||28
37.848,-122.3102,9||29
37.848,-122.3027,9||30
37.848,-122.2953,9||31
37.848,-122.2878,9||32
37.8405,-122.5191,10||1
37.8405,-122.5117,10||2
37.8405,-122.5042,10||3
37.8405,-122.4967,10||4
37.8405,-122.4893,10||5
37.8405,-122.4818,10||6
37.8405,-122.4744,10||7
37.8405,-122.4669,10||8
37.8405,-122.4594,10||9
37.8405,-122.452,10||10
37.8405,-122.4445,10||11
37.8405,-122.437,10||12
37.8405,-122.4296,10||13
37.8405,-122.4221,10||14
37.8405,-122.4147,10||15
37.8405,-122.4072,10||16
37.8405,-122.3997,10||17
37.8405,-122.3923,10||18
37.8405,-122.3848,10||19
37.8405,-122.3774,10||20
37.8405,-122.3699,10||21
37.8405,-122.3624,10||22
37.8405,-122.355,10||23
37.8405,-122.3475,10||24
37.8405,-122.3401,10||25
37.8405,-122.3326,10||26
37.8405,-122.3251,10||27
37.8405,-122.3177,10||28
37.8405,-122.3102,10||29
37.8405,-122.3027,10||30
37.8405,-122.2953,10||31
37.8405,-122.2878,10||32
37.8331,-122.5191,11||1
37.8331,-122.5117,11||2
37.8331,-122.5042,11||3
37.8331,-122.4967,11||4
37.8331,-122.4893,11||5
37.8331,-122.4818,11||6
37.8331,-122.4744,11||7
37.8331,-122.4669,11||8
37.8331,-122.4594,11||9
37.8331,-122.452,11||10
37.8331,-122.4445,11||11
37.8331,-122.437,11||12
37.8331,-122.4296,11||13
37.8331,-122.4221,11||14
37.8331,-122.4147,11||15
37.8331,-122.4072,11||16
37.8331,-122.3997,11||17
37.8331,-122.3923,11||18
37.8331,-122.3848,11||19
37.8331,-122.3774,11||20
37.8331,-122.3699,11||21
37.8331,-122.3624,11||22
37.8331,-122.355,11||23
37.8331,-122.3475,11||24
37.8331,-122.3401,11||25
37.8331,-122.3326,11||26
37.8331,-122.3251,11||27
37.8331,-122.3177,11||28
37.8331,-122.3102,11||29
37.8331,-122.3027,11||30
37.8331,-122.2953,11||31
37.8331,-122.2878,11||32
37.8256,-122.5191,12||1
37.8256,-122.5117,12||2
37.8256,-122.5042,12||3
37.8256,-122.4967,12||4
37.8256,-122.4893,12||5
37.8256,-122.4818,12||6
37.8256,-122.4744,12||7
37.8256,-122.4669,12||8
37.8256,-122.4594,12||9
37.8256,-122.452,12||10
37.8256,-122.4445,12||11
37.8256,-122.437,12||12
37.8256,-122.4296,12||13
37.8256,-122.4221,12||14
37.8256,-122.4147,12||15
37.8256,-122.4072,12||16
37.8256,-122.3997,12||17
37.8256,-122.3923,12||18
37.8256,-122.3848,12||19
37.8256,-122.3774,12||20
37.8256,-122.3699,12||21
37.8256,-122.3624,12||22
37.8256,-122.355,12||23
37.8256,-122.3475,12||24
37.8256,-122.3401,12||25
37.8256,-122.3326,12||26
37.8256,-122.3251,12||27
37.8256,-122.3177,12||28
37.8256,-122.3102,12||29
37.8256,-122.3027,12||30
37.8256,-122.2953,12||31
37.8256,-122.2878,12||32
37.8181,-122.5191,13||1
37.8181,-122.5117,13||2
37.8181,-122.5042,13||3
37.8181,-122.4967,13||4
37.8181,-122.4893,13||5
37.8181,-122.4818,13||6
37.8181,-122.4744,13||7
37.8181,-122.4669,13||8
37.8181,-122.4594,13||9
37.8181,-122.452,13||10
37.8181,-122.4445,13||11
37.8181,-122.437,13||12
37.8181,-122.4296,13||13
37.8181,-122.4221,13||14
37.8181,-122.4147,13||15
37.8181,-122.4072,13||16
37.8181,-122.3997,13||17
37.8181,-122.3923,13||18
37.8181,-122.3848,13||19
37.8181,-122.3774,13||20
37.8181,-122.3699,13||21
37.8181,-122.3624,13||22
37.8181,-122.355,13||23
37.8181,-122.3475,13||24
37.8181,-122.3401,13||25
37.8181,-122.3326,13||26
37.8181,-122.3251,13||27
37.8181,-122.3177,13||28
37.8181,-122.3102,13||29
37.8181,-122.3027,13||30
37.8181,-122.2953,13||31
37.8181,-122.2878,13||32
37.8107,-122.5191,14||1
37.8107,-122.5117,14||2
37.8107,-122.5042,14||3
37.8107,-122.4967,14||4
37.8107,-122.4893,14||5
37.8107,-122.4818,14||6
37.8107,-122.4744,14||7
